numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
98,0,2,0,0,0,0,99,0,0,0,0,97,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
100,0,0,0,0,0,0,99,0,0,0,0,99,0,99
